Area,Strategy,Description,Contact Medium
Local,Cold Outreach,"Local cold outreach is never really a cold call. You live in the same community so you have common interests, connections, and relevant personal experiences.","Phone call, Email, In-Person, Facebook"
Local,Local SEO,Rank high using local keywords on Google Business and Local SEO with Google MyBusiness and a website.,"Google MyBusiness, Website"
Local,OYM,Open Your Mouth and share with people what it is that you do AKA elevator pitch.,In-Person Everywhere
Local,Local Connections,"Connect with local business owners by joining the chamber of commerce, speaking events, sponsor teams/events, and local partnerships.",In-Person
Local,FTF,Face-to-Face marketing with a business card and flyer.,In-Person
Local,Close #1,When’s the last time you updated your website?,"Phone call, Email, In-Person, Facebook"
Local,Google MyBusiness,"Narrow down a type of business (landscaping, roofing, real estate, etc.) and search on Google Maps thus bringing up Google MyBusiness listings. Find and reach out to businesses with plenty of reviews but no website.",Google MyBusiness
Local,Hot Deals,Include discounted promotional items like “Website in a Day” or “Real Estate Specials” on a hot deals page on website.,"Phone call, Email, In-Person, Facebook, Website"
Area,Strategy,Description,Contact Medium
Online,Content Marketing,"Create valuable blog posts, case studies, and guides targeting small business pain points to establish authority and drive SEO traffic.","Website, LinkedIn, Email"
Online,Social Media Ads,"Use Facebook, Instagram, and LinkedIn Ads to target local or niche audiences with tailored messaging and offers.","Facebook, Instagram, LinkedIn"
Online,Email Marketing,"Develop an email list and send newsletters, tips, and promotions to nurture leads and encourage repeat engagement.","Email"
Online,Webinars/Workshops,"Host free educational webinars on topics like ""How AI Can Grow Your Business"" to generate leads and build credibility.","Website, Email, Zoom, LinkedIn"
Online,Google Ads (PPC),"Run pay-per-click ads targeting keywords like “AI consulting for small businesses” or “affordable website development.”","Google, Website"
Online,Influencer Outreach,"Partner with local influencers or micro-creators who serve your business niche to promote services.","Instagram, YouTube, Email"
Online,SEO Blogging,"Target national or niche keywords through long-form blog content optimized for Google to bring in organic traffic.","Website"
Online,YouTube Channel,"Create video content around use cases, testimonials, tutorials, and ""behind the scenes"" of projects to build trust and discoverability.","YouTube, Website, Email"
Online,Lead Magnets,"Offer free downloadable tools (checklists, templates, audits) in exchange for emails to build a qualified lead list.","Website, Email"
Online,Retargeting Campaigns,"Use pixel-based retargeting ads to stay top-of-mind with website visitors and warm leads who didn’t convert.","Facebook, Google Ads, Instagram"

